Date,BTC-USD,GLD,NVDA,SPY,TLT,TSLA,XLE,SPY_mu,SPY_var,TLT_mu,TLT_var,GLD_mu,GLD_var,BTC-USD_mu,BTC-USD_var,NVDA_mu,NVDA_var,TSLA_mu,TSLA_var,XLE_mu,XLE_var,SPY_vqe,TLT_vqe,GLD_vqe,BTC-USD_vqe,NVDA_vqe,TSLA_vqe,XLE_vqe
2020-09-11,0.003638635248421432,-5.4861557792618405e-05,-0.012031902760725958,0.000509096951802035,0.0021306709225719033,0.003709375196707332,0.0009200699632559062,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0,1,0,1,3,0,2
2020-09-12,0.003958714499077175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0,1,0,0,2,0,2
2020-09-13,-0.011404867595945653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0,1,0,1,3,0,0
2020-09-14,0.03400365092776386,0.00786160327773618,0.05655180735446732,0.013085226883837101,-6.144664945973828e-05,0.11852211424147706,0.007634724447511271,0.00022031862839962227,0.0001,0.0006876493878512776,0.0001,0.0008494338663317701,0.0001,0.0033594662839971606,0.0001,0.0036793454608321148,0.0001,0.005792873563255041,0.0001,-0.0026241655373621486,0.0001,0,3,3,2,3,3,2
2020-09-15,0.010812510742824319,-0.0023956152677241513,0.009182917832171105,0.005039694180500968,-0.0024345675623928652,0.06936453038904387,-0.0073281492716437205,0.00022031862839962227,0.0001,0.0006876493878512776,0.0001,0.0008494338663317701,0.0001,0.0033594662839971606,0.0001,0.0036793454608321148,0.0001,0.005792873563255041,0.0001,-0.0026241655373621486,0.0001,0,3,3,3,3,3,2
2020-09-16,0.016347532426243053,0.0028305733071044763,-0.037368595590877844,-0.003976670215263022,-0.002991217786026812,-0.017947393738460667,0.03936211294122353,0.00022031862839962227,0.0001,0.0006876493878512776,0.0001,0.0008494338663317701,0.0001,0.0033594662839971606,0.0001,0.0036793454608321148,0.0001,0.005792873563255041,0.0001,-0.0026241655373621486,0.0001,0,3,3,2,2,3,0
2020-09-17,-0.002364091830582051,-0.005505121062685115,-0.004083922807819196,-0.00883456174482038,0.0030518242966255703,-0.04237854336559032,0.001472189484830569,0.00022031862839962227,0.0001,0.0006876493878512776,0.0001,0.0008494338663317701,0.0001,0.0033594662839971606,0.0001,0.0036793454608321148,0.0001,0.005792873563255041,0.0001,-0.0026241655373621486,0.0001,0,3,3,2,1,3,0
2020-09-18,-0.0004023369137903027,0.001310849171618332,-0.02224969933645634,-0.011579009580071084,-0.0031125057225781243,0.04326101937694436,-0.011242795973342868,0.00022031862839962227,0.0001,0.0006876493878512776,0.0001,0.0008494338663317701,0.0001,0.0033594662839971606,0.0001,0.0036793454608321148,0.0001,0.005792873563255041,0.0001,-0.0026241655373621486,0.0001,0,3,3,3,0,3,0
2020-09-19,0.013590771382837723,0.0,0.0,0.0,0.0,0.0,0.0,0.003042600293534533,0.0001,0.0006214894299092644,0.0001,0.0008898909809570844,0.0001,0.0014248260440765262,0.0001,0.009638957578651332,0.0001,0.005644368352153517,0.0001,-0.0009335712250496725,0.0001,3,3,3,2,3,3,0
2020-09-20,-0.0141678855300922,0.0,0.0,0.0,0.0,0.0,0.0,0.003042600293534533,0.0001,0.0006214894299092644,0.0001,0.0008898909809570844,0.0001,0.0014248260440765262,0.0001,0.009638957578651332,0.0001,0.005644368352153517,0.0001,-0.0009335712250496725,0.0001,3,3,3,2,1,3,0
2020-09-21,-0.04449331082805089,-0.020291789448272826,0.026553076108381316,-0.011192057172121166,0.005061064641670674,0.016241895082045352,-0.03370775175746515,0.003042600293534533,0.0001,0.0006214894299092644,0.0001,0.0008898909809570844,0.0001,0.0014248260440765262,0.0001,0.009638957578651332,0.0001,0.005644368352153517,0.0001,-0.0009335712250496725,0.0001,3,3,3,2,1,3,2
2020-09-22,0.0072569445920738825,-0.004858095828927072,0.009580746545292,0.010132813710350753,-0.0007908111695215019,-0.05761528541471742,-0.01037568149026653,0.003042600293534533,0.0001,0.0006214894299092644,0.0001,0.0008898909809570844,0.0001,0.0014248260440765262,0.0001,0.009638957578651332,0.0001,0.005644368352153517,0.0001,-0.0009335712250496725,0.0001,3,3,3,3,0,3,2
2020-09-23,-0.028125828810467837,-0.021843335368817322,-0.041521962874856023,-0.023463952436972073,0.0013382250969211828,-0.10915761260898618,-0.04624915981910004,0.003042600293534533,0.0001,0.0006214894299092644,0.0001,0.0008898909809570844,0.0001,0.0014248260440765262,0.0001,0.009638957578651332,0.0001,0.005644368352153517,0.0001,-0.0009335712250496725,0.0001,3,3,3,3,2,3,0
2020-09-24,0.04893613643511954,0.0037119030895910897,0.018327858447538356,0.0026617787177171093,0.0038226554707630443,0.019345803747202597,-0.000330991111312172,0.005917011881676183,0.0001,0.000702679196295857,0.0001,-0.00039090149659329093,0.0001,0.005323601391958987,0.0001,0.014824382220085476,0.0001,0.0055964743399720875,0.0001,0.0032917320232287166,0.0001,3,3,0,3,2,3,3
2020-09-25,-0.00627888978372976,-0.0028540460781505306,0.041696111680781876,0.01603791827602372,0.0,0.0491842305281949,-0.0006624668123387336,0.005917011881676183,0.0001,0.000702679196295857,0.0001,-0.00039090149659329093,0.0001,0.005323601391958987,0.0001,0.014824382220085476,0.0001,0.0055964743399720875,0.0001,0.0032917320232287166,0.0001,3,3,0,3,2,3,3
2020-09-26,0.005410230472935921,0.0,0.0,0.0,0.0,0.0,0.0,0.005917011881676183,0.0001,0.000702679196295857,0.0001,-0.00039090149659329093,0.0001,0.005323601391958987,0.0001,0.014824382220085476,0.0001,0.0055964743399720875,0.0001,0.0032917320232287166,0.0001,3,3,0,3,3,3,1
2020-09-27,0.0022805831897412406,0.0,0.0,0.0,0.0,0.0,0.0,0.005917011881676183,0.0001,0.000702679196295857,0.0001,-0.00039090149659329093,0.0001,0.005323601391958987,0.0001,0.014824382220085476,0.0001,0.0055964743399720875,0.0001,0.0032917320232287166,0.0001,3,3,0,2,2,3,1
